Source_Language,Word,First_Use_Year,MW_Included,Category,Max_Frequency,Mean_Frequency,Non_Zero_Years,Is_Multi_Source,Source_Count
法语,café au lait,,0,饮品,9.24915854381782e-08,1.5151430146609435e-08,216.0,0,1
德语,muesli,1939,1,早餐,1.770044661952852e-07,1.5192019291112384e-08,219.0,0,1
法语,sommelier,1829,1,职业,1.21848696973562e-07,1.5246616969240728e-08,200.0,0,1
日语,wasabi,1891,1,调味品,1.6072755621670304e-07,1.5442479380067443e-08,151.0,0,1
意大利语,antipasto,1590,1,开胃菜,8.547611482104654e-08,1.584148892341161e-08,180.0,0,1
日语,soba,1896,1,面食,1.167277626937643e-07,1.5842218605912678e-08,221.0,0,1
西班牙语,arroz,1901,1,主食,7.281789089168861e-08,1.5988602918491976e-08,221.0,0,1
意大利语,marinara,1924,1,调味品,1.5891163026740938e-07,1.5994340746484042e-08,220.0,0,1
日语,mochi,1970,1,甜品,5.1271881724395443e-08,1.6122089803791544e-08,192.0,0,1
日语,teriyaki,1901,1,烹饪法,1.2531998245484438e-07,1.6204137049564214e-08,132.0,0,1
日语,ramen,1962,1,面食,2.3741895306881947e-07,1.6520842696938023e-08,221.0,0,1
纳瓦特尔语,tamale,1854,1,主食,7.607576333969388e-08,1.6618595753632296e-08,186.0,1,2
纳瓦特尔语,chipotle,1922,1,调味品,2.320454675392674e-07,1.6692485337064255e-08,98.0,1,2
阿拉伯语,mint tea,,0,饮品,1.0729074111688015e-07,1.6965455657042272e-08,221.0,0,1
意大利语,gelato,1929,1,甜品,2.2443326283142333e-07,1.6972035437200416e-08,221.0,0,1
印地语/乌尔都语,sambar,1698,1,汤,5.489152497619087e-08,1.697370584845012e-08,198.0,0,1
法语,confit,1951,1,烹饪法,1.2679059580023022e-07,1.7142241522192662e-08,221.0,0,1
阿拉伯语,amba,,0,调味品,8.46454124570073e-08,1.7197563670441288e-08,221.0,0,1
韩语,kimchi,1888,1,小菜,2.5053085193706336e-07,1.7494545978232368e-08,172.0,0,1
汉语,lychee,1588,1,水果,7.846063862107907e-08,1.7667124750896347e-08,181.0,0,1
印地语/乌尔都语,dosa,,0,主食,6.841095106275525e-08,1.7993482993894252e-08,221.0,0,1
西班牙语,nachos,1948,1,小吃,2.062882405847891e-07,1.7997465499197542e-08,212.0,0,1
汉语,chop suey,1884,1,菜品,5.920655610225368e-08,1.85279598248381e-08,173.0,0,1
波斯语,pilaf,1609,1,主食,1.1143190700327719e-07,1.8975090426185188e-08,221.0,1,3
纳瓦特尔语,jacaranda,1753,1,植物,7.416263818933138e-08,1.9648314393611872e-08,214.0,0,1
法语,fromage,,1,奶酪,8.694195940961437e-08,2.0308375554035793e-08,221.0,0,1
纳瓦特尔语,piranha,1861,1,动物,1.062544876211697e-07,2.0417647845271322e-08,212.0,0,1
德语,wiener,1880,1,肉类,7.8974497544745e-08,2.043697221119098e-08,218.0,0,1
荷兰语,hollandaise,1907,1,调味品,9.315040472301916e-08,2.0528044568529233e-08,207.0,0,1
德语,strudel,1881,1,甜品,1.205485641467671e-07,2.071442734926658e-08,192.0,0,1
阿拉伯语,tahini,1950,1,调味品,3.1400488507772805e-07,2.087994332415852e-08,136.0,0,1
德语,torte,1748,1,甜品,1.0298550380736873e-07,2.1046070613073925e-08,221.0,0,1
德语,frankfurter,1887,1,肉类,6.002550634320869e-08,2.1072414122640224e-08,177.0,0,1
日语,sashimi,1879,1,海鲜,1.4979242126043702e-07,2.1184335430591224e-08,148.0,0,1
纳瓦特尔语,guarana,1838,1,饮品,1.2462395103187062e-07,2.1729626187933288e-08,205.0,0,1
意大利语,gnocchi,1891,1,面食,2.0549275144990785e-07,2.17994177112432e-08,183.0,0,1
韩语,tamari,1965,1,调味品,2.622492303316904e-07,2.2140096304005967e-08,217.0,0,1
意大利语,al dente,1920,1,口感,2.093763547301413e-07,2.2260207459624593e-08,140.0,0,1
韩语,shoyu,1727,1,调味品,1.5155226204147505e-07,2.2333366910512078e-08,160.0,0,1
土耳其语,americano,1928,1,饮品,7.047323080655589e-08,2.282077089809213e-08,210.0,0,1
法语,terrine,1706,1,菜品,1.312638013522311e-07,2.284440497896324e-08,221.0,0,1
韩语,perilla,1900,1,蔬菜,2.2530390708652706e-07,2.2950116429846812e-08,218.0,0,1
德语,stollen,1906,1,甜品,9.097407779482376e-08,2.3392562045973725e-08,221.0,0,1
土耳其语,asti,,1,饮品,1.491396776742704e-07,2.4015434781962413e-08,221.0,0,1
纳瓦特尔语,burrito,1934,1,街头小吃,2.856967366174753e-07,2.42033929817625e-08,201.0,1,2
印地语/乌尔都语,madras,1838,1,菜品,7.757122284195768e-08,2.452823309213133e-08,221.0,0,1
日语,tempura,1920,1,油炸,1.1948502682506454e-07,2.4614899655752708e-08,221.0,0,1
波斯语,naan,1828,1,主食,1.328174152247032e-07,2.478257356026293e-08,221.0,1,2
法语,julienne,1841,1,切法,1.044862979629865e-07,2.513932171524996e-08,220.0,0,1
韩语,dulse,1698,1,食材,5.045783575090874e-08,2.51461155699648e-08,221.0,0,1
韩语,gim,,0,食材,5.09514264430371e-08,2.5278777173738428e-08,221.0,0,1
波斯语,raki,1613,1,饮品,8.58623831082436e-08,2.538070870368877e-08,221.0,1,2
纳瓦特尔语,guacamole,1891,1,调味品,2.520891777229346e-07,2.5505430869524475e-08,140.0,0,1
德语,goulash,1866,1,菜品,1.108393031959817e-07,2.61423107224081e-08,157.0,0,1
纳瓦特尔语,jalapeño,,0,调味品,4.14361928895752e-07,2.61572407521424e-08,91.0,1,2
西班牙语,paella,1892,1,主食,1.873871135720557e-07,2.622197594303073e-08,221.0,0,1
西班牙语,chorizo,1802,1,肉类,3.1186504705666654e-07,2.638320433578424e-08,205.0,0,1
荷兰语,coleslaw,1794,1,小菜,2.3030352938998737e-07,2.639009546047868e-08,174.0,0,1
法语,brioche,1826,1,烘焙,1.6853409030253325e-07,2.639719456112237e-08,221.0,0,1
波斯语,kebab,1673,1,肉类,2.3549548140116322e-07,2.8284792442604012e-08,220.0,1,4
纳瓦特尔语,yuca,1555,1,食材,8.357979958922053e-08,2.8395334277357234e-08,221.0,0,1
汉语,congee,1930,1,粥,8.185522101403616e-08,2.897690466926379e-08,221.0,0,1
法语,pâté,,0,肉酱,2.49716048220502e-07,3.0096422949124574e-08,221.0,0,1
韩语,tempeh,1950,1,豆制品,3.291341386102431e-07,3.0355992003871954e-08,184.0,0,1
印地语/乌尔都语,roti,1838,1,主食,1.3171641605984924e-07,3.070713631585615e-08,221.0,0,1
阿拉伯语,hummus,1949,1,调味品,4.108691403611634e-07,3.100311712512582e-08,221.0,1,2
法语,fondue,1824,1,烹饪法,1.7716396476836446e-07,3.1128618450584594e-08,221.0,0,1
西班牙语,frijoles,1577,1,主食,7.284626641584119e-08,3.1431134722353187e-08,221.0,0,1
意大利语,pepperoni,1888,1,肉类,3.0207663469030065e-07,3.1662687376068805e-08,163.0,0,1
波斯语,marzipan,1542,1,甜品,2.0879186633594925e-07,3.1823355007792965e-08,193.0,1,3
阿拉伯语,sorbet,1864,1,甜品,2.543415312012647e-07,3.2014617445665286e-08,221.0,0,1
韩语,mugwort,12世纪,1,蔬菜,9.662414623967665e-08,3.205147073048377e-08,221.0,0,1
日语,nori,1892,1,食材,1.7946025617935186e-07,3.376088801598172e-08,221.0,1,2
法语,quiche,1933,1,烘焙,2.468580545057973e-07,3.3877908301486804e-08,221.0,0,1
纳瓦特尔语,nopal,1578,1,蔬菜,1.3385345149734868e-07,3.4237830258649614e-08,221.0,0,1
意大利语,parmesan,1538,1,调味品,2.777049234379904e-07,3.4919269887962644e-08,221.0,0,1
法语,aperitif,1885,1,饮品,1.276006896335145e-07,3.4939089247712216e-08,215.0,0,1
印地语/乌尔都语,masala,1780,1,调味品,3.727600739823954e-07,3.4953141819875374e-08,188.0,0,1
法语,croissant,1875,1,烘焙,3.33395433926853e-07,3.5049417818106616e-08,221.0,0,1
意大利语,prosciutto,1891,1,肉类,2.980295497374235e-07,3.51721325763666e-08,198.0,0,1
汉语,bao,1927,1,包子,2.2049689261751026e-07,3.6062264477394393e-08,221.0,0,1
法语,soufflé,,0,烘焙,2.91462760466337e-07,3.664939198681221e-08,218.0,0,1
法语,baguette,1917,1,烘焙,3.333228854834098e-07,3.889299056569144e-08,221.0,0,1
印地语/乌尔都语,vada,,0,主食,6.330509602240194e-08,3.9381833449197465e-08,221.0,0,1
